date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:08:18	55357/55357	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Feb%202023%2021:08:17%20GMT	https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/index.html	(from )
18:08:18	126/126	---M-Z	200	added ('OK')	text/plain	date:Mon,%2013%20Feb%202023%2021:08:18%20GMT	https://www.orionsafetystation.com/robots.txt		(from )
18:08:19	94821/94821	---M-Z	200	added ('OK')	text/css	etag:%2217265-5ed0cbf819848-gzip%22	https://www.orionsafetystation.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-includes/css/dist/block-library/style.min9b2d.css	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:19	217/217	---M-Z	200	added ('OK')	text/css	etag:%22d9-5ed0cbf82d888-gzip%22	https://www.orionsafetystation.com/wp-includes/css/classic-themes.min.css?ver=1	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-includes/css/classic-themes.min68b3.css	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:19	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-5d4da72b08024-gzip%22	https://www.orionsafetystation.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.3	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-content/plugins/contact-form-7/includes/css/styles5697.css	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:20	263408/263408	---M-Z	200	added ('OK')	text/css	etag:%22404f0-5d18e91be3534-gzip%22	https://www.orionsafetystation.com/wp-content/themes/orionstation/css/libraries.css?ver=1.0.0	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-content/themes/orionstation/css/libraries8a54.css	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:20	157897/157897	---M-Z	200	added ('OK')	text/css	etag:%22268c9-5d18e91bea489-gzip%22	https://www.orionsafetystation.com/wp-content/themes/orionstation/style.css?ver=1.0.0	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-content/themes/orionstation/style8a54.css	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:20	15058/15058	---M-Z	200	added ('OK')	text/css	etag:%223ad2-5e7b1d311e432-gzip%22	https://www.orionsafetystation.com/wp-content/plugins/creame-whatsapp-me/public/css/joinchat.min.css?ver=4.5.9	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-content/plugins/creame-whatsapp-me/public/css/joinchat.minface.css	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:20	89684/89684	---M-Z	200	added ('OK')	application/javascript	etag:%2215e54-5ed0cbfc47215-gzip%22	https://www.orionsafetystation.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-includes/js/jquery/jquery.mina7a0.js	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:20	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:%222bd8-5d18e91c36764-gzip%22	https://www.orionsafetystation.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:21	108696/108696	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2013%20Feb%202023%2021:08:20%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/teste/connect.facebook.net/en_US/fbevents.js	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:21	13352/13352	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2010%20Jan%202023%2017:22:56%20GMT	https://snap.licdn.com/li.lms-analytics/insight.min.js	C:/My%20Web%20Sites/teste/snap.licdn.com/li.lms-analytics/insight.min.js	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:21	4666/4666	---M--	200	added ('OK')	image/png	etag:%22123a-5d4db098a616d%22	https://www.orionsafetystation.com/wp-content/themes/orionstation/images/logo/logo-light.png	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-content/themes/orionstation/images/logo/logo-light.png	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:21	5153/5153	---M--	200	added ('OK')	image/png	etag:%221421-5d4db098a9572%22	https://www.orionsafetystation.com/wp-content/themes/orionstation/images/logo/logo-dark.png	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-content/themes/orionstation/images/logo/logo-dark.png	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:22	353/353	---M--	200	added ('OK')	image/png	etag:%22161-5e7b1d225df8d%22	https://www.orionsafetystation.com/wp-content/plugins/polylang/flags/br.png	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-content/plugins/polylang/flags/br.png	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:22	350/350	---M--	200	added ('OK')	image/png	etag:%2215e-5e7b1d2267cf9%22	https://www.orionsafetystation.com/wp-content/plugins/polylang/flags/us.png	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-content/plugins/polylang/flags/us.png	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:23	110106/110106	---M--	200	added ('OK')	image/jpeg	etag:%221ae1a-5d18e91be5206%22	https://www.orionsafetystation.com/wp-content/themes/orionstation/images/banners/2.jpg	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-content/themes/orionstation/images/banners/2.jpg	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:23	21088/21088	---M--	200	added ('OK')	image/jpeg	etag:%225260-5d18e91be7fc2%22	https://www.orionsafetystation.com/wp-content/themes/orionstation/images/certificade/impa.jpg	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-content/themes/orionstation/images/certificade/impa.jpg	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:23	30510/30510	---M--	200	added ('OK')	image/jpeg	etag:%22772e-5d18e91be8164%22	https://www.orionsafetystation.com/wp-content/themes/orionstation/images/certificade/abfn.jpg	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-content/themes/orionstation/images/certificade/abfn.jpg	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:24	16352/16352	---M--	200	added ('OK')	image/jpeg	etag:%223fe0-5d18e91be8519%22	https://www.orionsafetystation.com/wp-content/themes/orionstation/images/certificade/issa.jpg	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-content/themes/orionstation/images/certificade/issa.jpg	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:24	45204/45204	---M--	200	added ('OK')	image/jpeg	etag:%22b094-5d18e91c1d50f%22	https://www.orionsafetystation.com/wp-content/uploads/2021/01/deck.jpg	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-content/uploads/2021/01/deck.jpg	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
18:08:25	60342/60342	---M--	200	added ('OK')	image/jpeg	etag:%22ebb6-5d18e91c1a62f%22	https://www.orionsafetystation.com/wp-content/uploads/2021/01/eletric.jpg	C:/My%20Web%20Sites/teste/www.orionsafetystation.com/wp-content/uploads/2021/01/eletric.jpg	(from https://www.orionsafetystation.com/pt/suprimentos-para-navios-e-aluguel/)
